Archivo,Peso (KB),Algoritmo,CPU Encrypt (%),CPU Decrypt (%)
img_001.jpg,14.53,3DES,4.1,13.5
img_001.jpg,14.53,ChaCha20,55.1,4.9
img_001.jpg,14.53,Camellia,5.3,2.8
img_002.jpg,17.71,AES,9.6,3.6
img_002.jpg,17.71,3DES,10.0,9.3
img_002.jpg,17.71,ChaCha20,33.3,1.2
img_002.jpg,17.71,Camellia,13.6,20.5
img_003.jpg,26.08,AES,7.8,15.7
img_003.jpg,26.08,3DES,9.3,12.9
img_003.jpg,26.08,ChaCha20,34.4,16.0
img_003.jpg,26.08,Camellia,4.2,76.4
img_004.jpg,34.67,AES,10.4,14.1
img_004.jpg,34.67,3DES,16.4,9.6
img_004.jpg,34.67,ChaCha20,25.7,19.5
img_004.jpg,34.67,Camellia,13.8,17.5
img_005.jpg,45.20,AES,2.5,7.6
img_005.jpg,45.20,3DES,16.5,2.7
img_005.jpg,45.20,ChaCha20,22.2,19.7
img_005.jpg,45.20,Camellia,5.0,19.4
img_006.jpg,56.35,AES,1.3,16.7
img_006.jpg,56.35,3DES,14.3,15.3
img_006.jpg,56.35,ChaCha20,9.4,2.5
img_006.jpg,56.35,Camellia,3.8,13.9
img_007.jpg,65.05,AES,2.8,1.4
img_007.jpg,65.05,3DES,24.7,13.0
img_007.jpg,65.05,ChaCha20,8.9,23.8
img_007.jpg,65.05,Camellia,14.1,8.3
img_008.jpg,72.23,AES,6.2,13.3
img_008.jpg,72.23,3DES,23.1,16.2
img_008.jpg,72.23,ChaCha20,6.0,2.4
img_008.jpg,72.23,Camellia,3.9,22.4
img_009.jpg,85.10,AES,18.6,6.5
img_009.jpg,85.10,3DES,23.7,9.3
img_009.jpg,85.10,ChaCha20,5.3,21.1
img_009.jpg,85.10,Camellia,2.8,8.3
img_010.jpg,93.04,AES,11.1,0
img_010.jpg,93.04,3DES,29.2,9.7
img_010.jpg,93.04,ChaCha20,0,14.1
img_010.jpg,93.04,Camellia,5.3,35.1
img_011.jpg,102.24,AES,19.7,1.4
img_011.jpg,102.24,3DES,18.7,2.7
img_011.jpg,102.24,ChaCha20,2.5,11.4
img_011.jpg,102.24,Camellia,6.5,12.9
img_012.jpg,112.34,AES,16.7,1.4
img_012.jpg,112.34,3DES,26.9,20.3
img_012.jpg,112.34,ChaCha20,11.5,20.5
img_012.jpg,112.34,Camellia,8.2,6.5
img_013.jpg,123.52,AES,11.4,14.7
img_013.jpg,123.52,3DES,9.9,3.9
img_013.jpg,123.52,ChaCha20,4.2,5.2
img_013.jpg,123.52,Camellia,6.2,19.2
img_014.jpg,136.63,AES,11.8,10.5
img_014.jpg,136.63,3DES,23.7,5.9
img_014.jpg,136.63,ChaCha20,8.3,81.4
img_014.jpg,136.63,Camellia,27.3,16.2
img_015.jpg,143.26,AES,23.4,16.7
img_015.jpg,143.26,3DES,34.7,20.3
img_015.jpg,143.26,ChaCha20,25.6,22.4
img_015.jpg,143.26,Camellia,9.3,8.2
img_016.jpg,156.11,AES,23.8,22.5
img_016.jpg,156.11,3DES,32.4,9.5
img_016.jpg,156.11,ChaCha20,4.1,52.8
img_016.jpg,156.11,Camellia,11.2,8.3
img_017.jpg,166.83,AES,0,9.5
img_017.jpg,166.83,3DES,9.6,9.7
img_017.jpg,166.83,ChaCha20,5.6,35.5
img_017.jpg,166.83,Camellia,21.9,1.3
img_018.jpg,177.03,AES,43.9,18.2
