Archivo,Peso (KB),Algoritmo,Energia Encrypt (J),Energia Encrypt (J/byte),Energia Decrypt (J),Energia Decrypt (J/byte)
audio_039.mp3,1877.28,Camellia,0.0420,0.00000002,0.0580,0.00000003
audio_040.mp3,1925.64,AES,0.0030,0.00000000,0.0056,0.00000000
audio_040.mp3,1925.64,3DES,1.1068,0.00000056,1.5383,0.00000078
audio_040.mp3,1925.64,ChaCha20,0.0000,0.00000000,0.0065,0.00000000
audio_040.mp3,1925.64,Camellia,0.0936,0.00000005,0.0358,0.00000002
audio_041.mp3,1974.62,AES,0.0022,0.00000000,0.0025,0.00000000
audio_041.mp3,1974.62,3DES,1.1672,0.00000058,0.9263,0.00000046
audio_041.mp3,1974.62,ChaCha20,0.0020,0.00000000,0.0066,0.00000000
audio_041.mp3,1974.62,Camellia,0.0317,0.00000002,0.0088,0.00000000
audio_042.mp3,2022.99,AES,0.0017,0.00000000,0.0026,0.00000000
audio_042.mp3,2022.99,3DES,1.8121,0.00000087,1.4632,0.00000071
audio_042.mp3,2022.99,ChaCha20,0.0038,0.00000000,0.0006,0.00000000
audio_042.mp3,2022.99,Camellia,0.0085,0.00000000,0.0145,0.00000001
audio_043.mp3,2071.97,AES,0.0012,0.00000000,0.0029,0.00000000
audio_043.mp3,2071.97,3DES,1.0959,0.00000052,0.9756,0.00000046
audio_043.mp3,2071.97,ChaCha20,0.0021,0.00000000,0.0056,0.00000000
audio_043.mp3,2071.97,Camellia,0.0471,0.00000002,0.0253,0.00000001
audio_044.mp3,2120.34,AES,0.0012,0.00000000,0.0012,0.00000000
audio_044.mp3,2120.34,3DES,1.0238,0.00000047,1.3518,0.00000062
audio_044.mp3,2120.34,ChaCha20,0.0024,0.00000000,0.0160,0.00000001
audio_044.mp3,2120.34,Camellia,0.0172,0.00000001,0.0203,0.00000001
audio_045.mp3,2169.32,AES,0.0042,0.00000000,0.0007,0.00000000
audio_045.mp3,2169.32,3DES,1.2013,0.00000054,1.3179,0.00000059
audio_045.mp3,2169.32,ChaCha20,0.0038,0.00000000,0.0054,0.00000000
audio_045.mp3,2169.32,Camellia,0.0132,0.00000001,0.0167,0.00000001
audio_046.mp3,2218.30,AES,0.0024,0.00000000,0.0033,0.00000000
audio_046.mp3,2218.30,3DES,1.6485,0.00000073,1.1374,0.00000050
audio_046.mp3,2218.30,ChaCha20,0.0023,0.00000000,0.0004,0.00000000
audio_046.mp3,2218.30,Camellia,0.0287,0.00000001,0.0122,0.00000001
audio_047.mp3,2266.66,AES,0.0042,0.00000000,0.0006,0.00000000
audio_047.mp3,2266.66,3DES,1.1980,0.00000052,1.2852,0.00000055
audio_047.mp3,2266.66,ChaCha20,0.0026,0.00000000,0.0093,0.00000000
audio_047.mp3,2266.66,Camellia,0.0570,0.00000002,0.0366,0.00000002
audio_048.mp3,2315.64,AES,0.0042,0.00000000,0.0072,0.00000000
audio_048.mp3,2315.64,3DES,1.1095,0.00000047,2.3705,0.00000100
audio_048.mp3,2315.64,ChaCha20,0.0021,0.00000000,0.0014,0.00000000
audio_048.mp3,2315.64,Camellia,0.0030,0.00000000,0.0336,0.00000001
audio_049.mp3,2364.01,AES,0.0050,0.00000000,0.0057,0.00000000
audio_049.mp3,2364.01,3DES,1.2667,0.00000052,1.8603,0.00000077
audio_049.mp3,2364.01,ChaCha20,0.0052,0.00000000,0.0004,0.00000000
audio_049.mp3,2364.01,Camellia,0.0229,0.00000001,0.0538,0.00000002
audio_050.mp3,2412.99,AES,0.0063,0.00000000,0.0041,0.00000000
