Archivo,Tamaño (KB),Algoritmo,Tiempo Encrypt (s),Velocidad Encrypt (bytes/s),Tiempo Decrypt (s),Velocidad Decrypt (bytes/s)
audio_033.mp3,1584.62,ChaCha20,0.001433,1132052556.31,0.001590,1020221851.07
audio_033.mp3,1584.62,Camellia,0.011235,144428410.09,0.009946,163144520.66
audio_034.mp3,1633.60,AES,0.002472,676788394.49,0.002326,719174383.52
audio_034.mp3,1633.60,3DES,0.351166,4763585.00,0.365779,4573279.06
audio_034.mp3,1633.60,ChaCha20,0.001964,851798626.40,0.001627,1028174866.01
audio_034.mp3,1633.60,Camellia,0.011868,140956792.14,0.011269,148438980.38
audio_035.mp3,1681.97,AES,0.003131,550106668.76,0.002745,627519177.74
audio_035.mp3,1681.97,3DES,0.390923,4405821.47,0.374046,4604611.99
audio_035.mp3,1681.97,ChaCha20,0.001644,1047563917.36,0.001357,1269595918.13
audio_035.mp3,1681.97,Camellia,0.011390,151215137.72,0.010727,160554757.84
audio_036.mp3,1730.95,AES,0.002906,609974588.58,0.002441,726012723.20
audio_036.mp3,1730.95,3DES,0.376980,4701815.92,0.382338,4635931.79
audio_036.mp3,1730.95,ChaCha20,0.001505,1177815317.74,0.001412,1255593697.95
audio_036.mp3,1730.95,Camellia,0.011968,148100926.04,0.011170,158687918.32
audio_037.mp3,1779.32,AES,0.004344,419435004.07,0.002526,721225535.49
audio_037.mp3,1779.32,3DES,0.386611,4712802.26,0.379331,4803247.32
audio_037.mp3,1779.32,ChaCha20,0.001522,1196884224.60,0.001454,1253009636.67
audio_037.mp3,1779.32,Camellia,0.012925,140972251.87,0.011249,161967356.34
audio_038.mp3,1828.30,AES,0.002908,643909068.57,0.002796,669549035.74
audio_038.mp3,1828.30,3DES,0.406019,4611047.58,0.400711,4672132.09
audio_038.mp3,1828.30,ChaCha20,0.001465,1278071466.67,0.001482,1263470811.13
audio_038.mp3,1828.30,Camellia,0.012239,152965249.66,0.011905,157253851.83
audio_039.mp3,1877.28,AES,0.005973,321844020.77,0.003125,615061134.21
audio_039.mp3,1877.28,3DES,0.422318,4551857.06,0.413852,4644967.29
audio_039.mp3,1877.28,ChaCha20,0.001551,1239673494.51,0.001512,1271740758.41
audio_039.mp3,1877.28,Camellia,0.012458,154303798.98,0.011598,165741698.53
audio_040.mp3,1925.64,AES,0.002810,701728482.68,0.002628,750301360.50
audio_040.mp3,1925.64,3DES,0.432376,4560512.71,0.412980,4774710.39
audio_040.mp3,1925.64,ChaCha20,0.001581,1246882541.36,0.001554,1269076553.14
audio_040.mp3,1925.64,Camellia,0.012688,155415136.37,0.011668,168994113.14
audio_041.mp3,1974.62,AES,0.004406,458900341.65,0.003029,667632623.31
audio_041.mp3,1974.62,3DES,0.423788,4771280.75,0.434478,4653895.05
audio_041.mp3,1974.62,ChaCha20,0.001664,1215033984.81,0.001617,1250691227.54
audio_041.mp3,1974.62,Camellia,0.013694,147658911.03,0.012866,157162077.98
audio_042.mp3,2022.99,AES,0.003107,666820621.83,0.002744,754945929.49
audio_042.mp3,2022.99,3DES,0.458375,4519315.20,0.460438,4499070.64
audio_042.mp3,2022.99,ChaCha20,0.002128,973411685.24,0.001730,1197116657.82
audio_042.mp3,2022.99,Camellia,0.014209,145795330.19,0.014294,144919901.63
audio_043.mp3,2071.97,AES,0.003019,702759063.38,0.002439,869811164.07
audio_043.mp3,2071.97,3DES,0.456413,4648629.09,0.447073,4745743.58
audio_043.mp3,2071.97,ChaCha20,0.001673,1268572775.42,0.001594,1331394078.33
audio_043.mp3,2071.97,Camellia,0.013216,160536828.60,0.012303,172448609.01
audio_044.mp3,2120.34,AES,0.002958,734003200.00,0.003038,714761612.31
audio_044.mp3,2120.34,3DES,0.452553,4797730.05,0.453836,4784162.50
audio_044.mp3,2120.34,ChaCha20,0.002487,873133049.13,0.001724,1259233642.48
audio_044.mp3,2120.34,Camellia,0.014976,144977755.35,0.014876,145955984.59
audio_045.mp3,2169.32,AES,0.010283,216024646.87,0.002867,774814388.32
audio_045.mp3,2169.32,3DES,0.460819,4820506.79,0.464511,4782188.70
audio_045.mp3,2169.32,ChaCha20,0.002541,874274469.32,0.002639,841733039.98
audio_045.mp3,2169.32,Camellia,0.015689,141587159.33,0.015657,141873903.94
audio_046.mp3,2218.30,AES,0.003541,641453466.41,0.003110,730413089.29
audio_046.mp3,2218.30,3DES,0.479464,4737654.43,0.466806,4866117.82
