Algoritmo,Archivo,Tamaño (KB),CPU Encrypt (%),CPU Decrypt (%)
3DES,text_044.txt,14.43359375,,
ChaCha20,text_044.txt,14.43359375,,
AES,text_045.txt,14.76171875,,
3DES,text_045.txt,14.76171875,,
ChaCha20,text_045.txt,14.76171875,,
AES,text_046.txt,15.08984375,,
3DES,text_046.txt,15.08984375,,
ChaCha20,text_046.txt,15.08984375,,
AES,text_047.txt,15.41796875,,
3DES,text_047.txt,15.41796875,,
ChaCha20,text_047.txt,15.41796875,,
AES,text_048.txt,15.74609375,,
3DES,text_048.txt,15.74609375,,
ChaCha20,text_048.txt,15.74609375,,
AES,text_049.txt,16.07421875,,
3DES,text_049.txt,16.07421875,,
ChaCha20,text_049.txt,16.07421875,,
AES,text_050.txt,16.40234375,,
3DES,text_050.txt,16.40234375,,
ChaCha20,text_050.txt,16.40234375,,
